time, dskOnReal, dskOnFake, epoch
1590657584.4925, 0.319, 0.4563, 0
1590657584.5194, 0.282, 0.4543, 0
1590657584.5464, 0.251, 0.4719, 0
1590657584.5723, 0.23, 0.4556, 0
1590657584.5972, 0.23, 0.4591, 0
1590657584.6242, 0.236, 0.459, 0
1590657584.6511, 0.229, 0.4524, 0
1590657584.677, 0.262, 0.4874, 0
1590657584.7, 0.277, 0.5202, 0
1590657584.7249, 0.304, 0.5749, 0
1590657584.7498, 0.341, 0.6028, 0
1590657584.7767, 0.38, 0.6751, 0
1590657584.8046, 0.446, 0.7173, 0
1590657584.8306, 0.509, 0.7694, 0
1590657584.8545, 0.574, 0.7799, 0
1590657584.8824, 0.632, 0.7846, 0
1590657584.9074, 0.682, 0.7759, 0
1590657584.9323, 0.694, 0.7573, 0
1590657584.9573, 0.716, 0.7254, 0
1590657584.9832, 0.72, 0.7126, 0
1590657585.0101, 0.73, 0.7023, 0
1590657585.0371, 0.729, 0.7534, 0
1590657585.064, 0.699, 0.801, 0
1590657585.0889, 0.703, 0.8504, 0
1590657585.1128, 0.656, 0.8799, 0
1590657585.1368, 0.626, 0.8808, 0
1590657585.1647, 0.588, 0.879, 0
1590657585.1926, 0.565, 0.8616, 0
1590657585.2195, 0.535, 0.8214, 0
1590657585.2445, 0.521, 0.7869, 0
1590657585.2724, 0.489, 0.7537, 0
1590657585.2969, 0.478, 0.7051, 0
1590657585.3228, 0.472, 0.6703, 0
1590657585.3487, 0.47, 0.6205, 0
1590657585.3717, 0.47, 0.5886, 0
1590657585.3957, 0.483, 0.5787, 0
1590657585.4206, 0.507, 0.5597, 0
1590657585.4465, 0.513, 0.5577, 0
1590657585.4705, 0.535, 0.5632, 0
1590657585.4954, 0.573, 0.5824, 0
1590657585.5214, 0.551, 0.5948, 0
1590657585.5453, 0.519, 0.5917, 0
1590657585.5722, 0.506, 0.5865, 0
1590657585.5952, 0.482, 0.5829, 0
1590657585.6211, 0.46, 0.5596, 0
1590657585.648, 0.432, 0.5434, 0
