time, dskOnReal, dskOnFake, epoch
1590657598.5043, 0.269, 0.6892, 1
1590657598.5313, 0.243, 0.675, 1
1590657598.5542, 0.224, 0.66, 1
1590657598.5782, 0.21, 0.6616, 1
1590657598.605, 0.202, 0.6662, 1
1590657598.634, 0.194, 0.6959, 1
1590657598.6589, 0.228, 0.731, 1
1590657598.6828, 0.24, 0.7516, 1
1590657598.7098, 0.251, 0.755, 1
1590657598.7367, 0.25, 0.7367, 1
1590657598.7617, 0.269, 0.6945, 1
1590657598.7876, 0.263, 0.6543, 1
1590657598.8135, 0.256, 0.5998, 1
1590657598.8385, 0.319, 0.5987, 1
1590657598.8624, 0.34, 0.6397, 1
1590657598.8874, 0.404, 0.6596, 1
1590657598.9173, 0.402, 0.6861, 1
1590657598.9433, 0.439, 0.7267, 1
1590657598.9692, 0.455, 0.7779, 1
