model, time, acc, loss, tacc, tloss
model-Wed May 20 20:40:38 2020, 1589987458.663, 0.69, 0.2089, 0.62, 0.2215
model-Wed May 20 20:40:38 2020, 1589987458.725, 0.59, 0.2318, 0.54, 0.2357
model-Wed May 20 20:40:38 2020, 1589987458.789, 0.66, 0.2117, 0.66, 0.2157
model-Wed May 20 20:40:38 2020, 1589987458.852, 0.72, 0.2197, 0.64, 0.2259
model-Wed May 20 20:40:38 2020, 1589987458.917, 0.64, 0.2118, 0.69, 0.2126
model-Wed May 20 20:40:38 2020, 1589987458.979, 0.52, 0.2526, 0.69, 0.2151
model-Wed May 20 20:40:38 2020, 1589987459.043, 0.67, 0.2334, 0.64, 0.2252
model-Wed May 20 20:40:38 2020, 1589987459.106, 0.57, 0.2336, 0.58, 0.2359
model-Wed May 20 20:40:38 2020, 1589987459.171, 0.62, 0.2315, 0.61, 0.2407
model-Wed May 20 20:40:38 2020, 1589987459.236, 0.62, 0.213, 0.62, 0.2311
model-Wed May 20 20:40:38 2020, 1589987459.314, 0.57, 0.2497, 0.66, 0.2218
model-Wed May 20 20:40:38 2020, 1589987459.38, 0.74, 0.2036, 0.66, 0.2143
model-Wed May 20 20:40:38 2020, 1589987459.449, 0.62, 0.2085, 0.67, 0.1977
model-Wed May 20 20:40:38 2020, 1589987459.512, 0.61, 0.2291, 0.65, 0.2206
model-Wed May 20 20:40:38 2020, 1589987459.58, 0.55, 0.2585, 0.66, 0.221
model-Wed May 20 20:40:38 2020, 1589987459.643, 0.68, 0.2105, 0.64, 0.2064
model-Wed May 20 20:40:38 2020, 1589987459.718, 0.59, 0.2323, 0.7, 0.2003
model-Wed May 20 20:40:38 2020, 1589987459.781, 0.66, 0.2151, 0.55, 0.2536
model-Wed May 20 20:40:38 2020, 1589987459.853, 0.62, 0.2234, 0.64, 0.2156
model-Wed May 20 20:40:38 2020, 1589987459.916, 0.6, 0.2368, 0.65, 0.2325
model-Wed May 20 20:40:38 2020, 1589987459.98, 0.68, 0.2052, 0.66, 0.2237
model-Wed May 20 20:40:38 2020, 1589987460.044, 0.56, 0.2409, 0.64, 0.2254
model-Wed May 20 20:40:38 2020, 1589987460.108, 0.66, 0.2246, 0.58, 0.2207
model-Wed May 20 20:40:38 2020, 1589987460.172, 0.65, 0.2352, 0.66, 0.2181
model-Wed May 20 20:40:38 2020, 1589987460.246, 0.68, 0.1972, 0.69, 0.2133
model-Wed May 20 20:40:38 2020, 1589987460.309, 0.8, 0.1755, 0.66, 0.2088
model-Wed May 20 20:40:38 2020, 1589987460.373, 0.64, 0.1948, 0.57, 0.2426
model-Wed May 20 20:40:38 2020, 1589987460.434, 0.63, 0.2248, 0.75, 0.1603
model-Wed May 20 20:40:38 2020, 1589987460.498, 0.65, 0.2236, 0.74, 0.195
model-Wed May 20 20:40:38 2020, 1589987460.561, 0.75, 0.1979, 0.74, 0.1689
model-Wed May 20 20:40:38 2020, 1589987460.625, 0.72, 0.1965, 0.59, 0.2425
model-Wed May 20 20:40:38 2020, 1589987460.688, 0.63, 0.2199, 0.66, 0.2128
model-Wed May 20 20:40:38 2020, 1589987460.752, 0.65, 0.2219, 0.65, 0.2182
model-Wed May 20 20:40:38 2020, 1589987460.814, 0.7, 0.2084, 0.65, 0.2262
model-Wed May 20 20:40:38 2020, 1589987460.877, 0.67, 0.1871, 0.67, 0.2189
model-Wed May 20 20:40:38 2020, 1589987460.94, 0.69, 0.2126, 0.63, 0.2075
model-Wed May 20 20:40:38 2020, 1589987461.005, 0.61, 0.2316, 0.62, 0.2278
model-Wed May 20 20:40:38 2020, 1589987461.068, 0.66, 0.2107, 0.68, 0.2107
model-Wed May 20 20:40:38 2020, 1589987461.133, 0.68, 0.2116, 0.65, 0.2176
model-Wed May 20 20:40:38 2020, 1589987461.195, 0.62, 0.2289, 0.65, 0.2305
model-Wed May 20 20:40:38 2020, 1589987461.269, 0.64, 0.2386, 0.68, 0.2103
model-Wed May 20 20:40:38 2020, 1589987461.332, 0.64, 0.217, 0.66, 0.2088
model-Wed May 20 20:40:38 2020, 1589987461.406, 0.68, 0.2041, 0.64, 0.2172
model-Wed May 20 20:40:38 2020, 1589987461.469, 0.65, 0.2136, 0.68, 0.214
model-Wed May 20 20:40:38 2020, 1589987461.534, 0.64, 0.2221, 0.58, 0.2487
model-Wed May 20 20:40:38 2020, 1589987461.595, 0.64, 0.2337, 0.63, 0.2211
model-Wed May 20 20:40:38 2020, 1589987461.661, 0.69, 0.223, 0.64, 0.2194
model-Wed May 20 20:40:38 2020, 1589987461.724, 0.67, 0.2122, 0.64, 0.2075
model-Wed May 20 20:40:38 2020, 1589987461.788, 0.75, 0.1981, 0.68, 0.1997
model-Wed May 20 20:40:38 2020, 1589987461.851, 0.63, 0.2194, 0.65, 0.2194
model-Wed May 20 20:40:38 2020, 1589987461.914, 0.71, 0.2032, 0.63, 0.2343
model-Wed May 20 20:40:38 2020, 1589987461.977, 0.66, 0.2078, 0.59, 0.2403
model-Wed May 20 20:40:38 2020, 1589987462.041, 0.61, 0.2339, 0.66, 0.2236
model-Wed May 20 20:40:38 2020, 1589987462.104, 0.6, 0.2451, 0.62, 0.2146
model-Wed May 20 20:40:38 2020, 1589987462.168, 0.7, 0.1954, 0.63, 0.2245
model-Wed May 20 20:40:38 2020, 1589987462.231, 0.66, 0.2024, 0.67, 0.2091
model-Wed May 20 20:40:38 2020, 1589987462.294, 0.74, 0.1877, 0.62, 0.2488
model-Wed May 20 20:40:38 2020, 1589987462.358, 0.72, 0.1897, 0.61, 0.2238
model-Wed May 20 20:40:38 2020, 1589987462.437, 0.72, 0.1974, 0.63, 0.2354
model-Wed May 20 20:40:38 2020, 1589987462.501, 0.57, 0.2425, 0.75, 0.1972
model-Wed May 20 20:40:38 2020, 1589987462.564, 0.64, 0.2227, 0.69, 0.2107
model-Wed May 20 20:40:38 2020, 1589987462.627, 0.64, 0.2103, 0.65, 0.2143
model-Wed May 20 20:40:38 2020, 1589987462.69, 0.63, 0.2266, 0.6, 0.2379
model-Wed May 20 20:40:38 2020, 1589987462.754, 0.63, 0.2339, 0.66, 0.2244
model-Wed May 20 20:40:38 2020, 1589987462.818, 0.6, 0.2296, 0.66, 0.2147
model-Wed May 20 20:40:38 2020, 1589987462.881, 0.71, 0.2034, 0.68, 0.1797
model-Wed May 20 20:40:38 2020, 1589987462.955, 0.65, 0.2102, 0.66, 0.2058
model-Wed May 20 20:40:38 2020, 1589987463.018, 0.59, 0.2544, 0.68, 0.2194
model-Wed May 20 20:40:38 2020, 1589987463.081, 0.66, 0.2121, 0.69, 0.2131
model-Wed May 20 20:40:38 2020, 1589987463.144, 0.58, 0.2293, 0.63, 0.2022
model-Wed May 20 20:40:38 2020, 1589987463.207, 0.68, 0.2012, 0.68, 0.2073
model-Wed May 20 20:40:38 2020, 1589987463.271, 0.72, 0.1947, 0.73, 0.1964
model-Wed May 20 20:40:38 2020, 1589987463.335, 0.68, 0.2095, 0.69, 0.2088
model-Wed May 20 20:40:38 2020, 1589987463.398, 0.73, 0.1891, 0.59, 0.2312
model-Wed May 20 20:40:38 2020, 1589987463.471, 0.58, 0.2255, 0.63, 0.2379
model-Wed May 20 20:40:38 2020, 1589987463.533, 0.71, 0.2093, 0.65, 0.226
model-Wed May 20 20:40:38 2020, 1589987463.597, 0.63, 0.235, 0.67, 0.2095
model-Wed May 20 20:40:38 2020, 1589987463.66, 0.57, 0.2407, 0.65, 0.213
model-Wed May 20 20:40:38 2020, 1589987463.723, 0.61, 0.2396, 0.7, 0.1884
model-Wed May 20 20:40:38 2020, 1589987463.785, 0.72, 0.1891, 0.73, 0.1827
model-Wed May 20 20:40:38 2020, 1589987463.859, 0.74, 0.1898, 0.58, 0.2352
model-Wed May 20 20:40:38 2020, 1589987463.922, 0.72, 0.1904, 0.57, 0.2415
model-Wed May 20 20:40:38 2020, 1589987463.996, 0.65, 0.2307, 0.73, 0.1951
model-Wed May 20 20:40:38 2020, 1589987464.059, 0.64, 0.2259, 0.61, 0.2238
model-Wed May 20 20:40:38 2020, 1589987464.123, 0.63, 0.2181, 0.56, 0.2411
model-Wed May 20 20:40:38 2020, 1589987464.185, 0.65, 0.2136, 0.64, 0.2252
model-Wed May 20 20:40:38 2020, 1589987464.249, 0.64, 0.2111, 0.73, 0.187
model-Wed May 20 20:40:38 2020, 1589987464.312, 0.76, 0.1914, 0.63, 0.2221
model-Wed May 20 20:40:38 2020, 1589987464.386, 0.68, 0.2104, 0.66, 0.2143
model-Wed May 20 20:40:38 2020, 1589987464.449, 0.72, 0.2016, 0.62, 0.2192
model-Wed May 20 20:40:38 2020, 1589987464.512, 0.63, 0.2246, 0.68, 0.2015
model-Wed May 20 20:40:38 2020, 1589987464.573, 0.69, 0.2092, 0.65, 0.2052
model-Wed May 20 20:40:38 2020, 1589987464.637, 0.72, 0.1852, 0.64, 0.2235
model-Wed May 20 20:40:38 2020, 1589987464.711, 0.62, 0.227, 0.71, 0.1959
model-Wed May 20 20:40:38 2020, 1589987464.774, 0.71, 0.2055, 0.66, 0.2163
model-Wed May 20 20:40:38 2020, 1589987464.837, 0.63, 0.2149, 0.64, 0.2232
model-Wed May 20 20:40:38 2020, 1589987464.901, 0.63, 0.2415, 0.76, 0.1698
model-Wed May 20 20:40:38 2020, 1589987464.962, 0.68, 0.2081, 0.65, 0.2163
model-Wed May 20 20:40:38 2020, 1589987465.025, 0.61, 0.2358, 0.66, 0.2213
model-Wed May 20 20:40:38 2020, 1589987465.097, 0.69, 0.202, 0.69, 0.2117
model-Wed May 20 20:40:38 2020, 1589987465.161, 0.69, 0.2049, 0.64, 0.2208
model-Wed May 20 20:40:38 2020, 1589987465.224, 0.72, 0.1877, 0.62, 0.2209
model-Wed May 20 20:40:38 2020, 1589987465.287, 0.65, 0.2252, 0.66, 0.1996
model-Wed May 20 20:40:38 2020, 1589987465.349, 0.69, 0.2021, 0.61, 0.2197
model-Wed May 20 20:40:38 2020, 1589987465.413, 0.73, 0.1883, 0.72, 0.1898
model-Wed May 20 20:40:38 2020, 1589987465.475, 0.74, 0.1954, 0.66, 0.2301
model-Wed May 20 20:40:38 2020, 1589987465.538, 0.67, 0.2032, 0.69, 0.2125
model-Wed May 20 20:40:38 2020, 1589987465.621, 0.7, 0.1874, 0.74, 0.1859
model-Wed May 20 20:40:38 2020, 1589987465.683, 0.72, 0.2104, 0.69, 0.2032
model-Wed May 20 20:40:38 2020, 1589987465.746, 0.7, 0.1909, 0.72, 0.1715
model-Wed May 20 20:40:38 2020, 1589987465.809, 0.76, 0.1816, 0.66, 0.232
model-Wed May 20 20:40:38 2020, 1589987465.873, 0.66, 0.207, 0.55, 0.2587
model-Wed May 20 20:40:38 2020, 1589987465.937, 0.64, 0.2202, 0.69, 0.1857
model-Wed May 20 20:40:38 2020, 1589987465.999, 0.57, 0.2561, 0.77, 0.1685
model-Wed May 20 20:40:38 2020, 1589987466.062, 0.73, 0.1789, 0.72, 0.1879
model-Wed May 20 20:40:38 2020, 1589987466.125, 0.65, 0.2269, 0.69, 0.2081
model-Wed May 20 20:40:38 2020, 1589987466.188, 0.67, 0.2163, 0.65, 0.2156
model-Wed May 20 20:40:38 2020, 1589987466.251, 0.6, 0.2192, 0.75, 0.1783
model-Wed May 20 20:40:38 2020, 1589987466.315, 0.76, 0.171, 0.64, 0.2331
model-Wed May 20 20:40:38 2020, 1589987466.377, 0.57, 0.2563, 0.71, 0.1856
model-Wed May 20 20:40:38 2020, 1589987466.44, 0.67, 0.2116, 0.69, 0.2077
model-Wed May 20 20:40:38 2020, 1589987466.502, 0.73, 0.1843, 0.74, 0.1839
model-Wed May 20 20:40:38 2020, 1589987466.566, 0.73, 0.1899, 0.69, 0.1998
model-Wed May 20 20:40:38 2020, 1589987466.628, 0.66, 0.2141, 0.65, 0.2066
model-Wed May 20 20:40:38 2020, 1589987466.691, 0.64, 0.2281, 0.7, 0.1992
model-Wed May 20 20:40:38 2020, 1589987466.753, 0.65, 0.2137, 0.67, 0.2034
model-Wed May 20 20:40:38 2020, 1589987466.816, 0.62, 0.2237, 0.69, 0.2135
model-Wed May 20 20:40:38 2020, 1589987466.879, 0.66, 0.2003, 0.69, 0.197
model-Wed May 20 20:40:38 2020, 1589987466.942, 0.69, 0.1893, 0.59, 0.2248
model-Wed May 20 20:40:38 2020, 1589987467.004, 0.76, 0.1824, 0.67, 0.2101
model-Wed May 20 20:40:38 2020, 1589987467.068, 0.7, 0.1902, 0.67, 0.1966
model-Wed May 20 20:40:38 2020, 1589987467.13, 0.67, 0.2014, 0.68, 0.2228
model-Wed May 20 20:40:38 2020, 1589987467.193, 0.67, 0.1965, 0.67, 0.2034
model-Wed May 20 20:40:38 2020, 1589987467.255, 0.71, 0.1974, 0.69, 0.1951
model-Wed May 20 20:40:38 2020, 1589987467.319, 0.75, 0.1848, 0.69, 0.191
model-Wed May 20 20:40:38 2020, 1589987467.381, 0.62, 0.202, 0.7, 0.194
model-Wed May 20 20:40:38 2020, 1589987467.445, 0.71, 0.1967, 0.67, 0.2005
model-Wed May 20 20:40:38 2020, 1589987467.507, 0.66, 0.2151, 0.69, 0.1963
model-Wed May 20 20:40:38 2020, 1589987467.569, 0.68, 0.1915, 0.64, 0.2255
model-Wed May 20 20:40:38 2020, 1589987467.631, 0.73, 0.1884, 0.73, 0.1959
model-Wed May 20 20:40:38 2020, 1589987467.695, 0.7, 0.1941, 0.68, 0.2094
model-Wed May 20 20:40:38 2020, 1589987467.757, 0.68, 0.2127, 0.62, 0.2342
model-Wed May 20 20:40:38 2020, 1589987467.82, 0.68, 0.1925, 0.61, 0.2137
model-Wed May 20 20:40:38 2020, 1589987467.882, 0.67, 0.1936, 0.76, 0.1812
model-Wed May 20 20:40:38 2020, 1589987467.944, 0.64, 0.2271, 0.59, 0.2186
model-Wed May 20 20:40:38 2020, 1589987468.007, 0.62, 0.2321, 0.77, 0.1764
model-Wed May 20 20:40:38 2020, 1589987468.07, 0.68, 0.1954, 0.71, 0.2009
model-Wed May 20 20:40:38 2020, 1589987468.132, 0.71, 0.195, 0.66, 0.2115
model-Wed May 20 20:40:38 2020, 1589987468.206, 0.75, 0.1839, 0.74, 0.1869
model-Wed May 20 20:40:38 2020, 1589987468.269, 0.7, 0.1952, 0.68, 0.2073
model-Wed May 20 20:40:38 2020, 1589987468.332, 0.63, 0.2205, 0.68, 0.1962
model-Wed May 20 20:40:38 2020, 1589987468.394, 0.6, 0.221, 0.69, 0.2005
model-Wed May 20 20:40:38 2020, 1589987468.457, 0.74, 0.1857, 0.68, 0.2009
model-Wed May 20 20:40:38 2020, 1589987468.519, 0.72, 0.1867, 0.72, 0.1921
model-Wed May 20 20:40:38 2020, 1589987468.582, 0.67, 0.1948, 0.78, 0.1672
model-Wed May 20 20:40:38 2020, 1589987468.645, 0.72, 0.1804, 0.73, 0.1775
model-Wed May 20 20:40:38 2020, 1589987468.707, 0.67, 0.2104, 0.7, 0.1976
model-Wed May 20 20:40:38 2020, 1589987468.781, 0.74, 0.1775, 0.68, 0.2266
model-Wed May 20 20:40:38 2020, 1589987468.833, 0.75, 0.158, 0.7, 0.2065
model-Wed May 20 20:40:38 2020, 1589987468.92, 0.71, 0.2016, 0.79, 0.175
model-Wed May 20 20:40:38 2020, 1589987468.983, 0.74, 0.1809, 0.7, 0.1935
model-Wed May 20 20:40:38 2020, 1589987469.058, 0.63, 0.2411, 0.68, 0.1862
model-Wed May 20 20:40:38 2020, 1589987469.12, 0.65, 0.2289, 0.68, 0.2084
model-Wed May 20 20:40:38 2020, 1589987469.184, 0.72, 0.183, 0.72, 0.2054
model-Wed May 20 20:40:38 2020, 1589987469.247, 0.69, 0.2042, 0.69, 0.2018
model-Wed May 20 20:40:38 2020, 1589987469.32, 0.68, 0.1904, 0.69, 0.2168
model-Wed May 20 20:40:38 2020, 1589987469.383, 0.72, 0.1814, 0.67, 0.2177
model-Wed May 20 20:40:38 2020, 1589987469.455, 0.65, 0.2127, 0.72, 0.1918
model-Wed May 20 20:40:38 2020, 1589987469.517, 0.62, 0.2442, 0.61, 0.2215
model-Wed May 20 20:40:38 2020, 1589987469.58, 0.65, 0.2125, 0.66, 0.2042
model-Wed May 20 20:40:38 2020, 1589987469.643, 0.62, 0.2153, 0.7, 0.1812
model-Wed May 20 20:40:38 2020, 1589987469.706, 0.72, 0.1753, 0.74, 0.1876
model-Wed May 20 20:40:38 2020, 1589987469.768, 0.65, 0.2041, 0.65, 0.2014
model-Wed May 20 20:40:38 2020, 1589987469.831, 0.69, 0.1794, 0.69, 0.1867
model-Wed May 20 20:40:38 2020, 1589987469.903, 0.7, 0.1907, 0.7, 0.2155
model-Wed May 20 20:40:38 2020, 1589987469.967, 0.73, 0.1853, 0.71, 0.1933
model-Wed May 20 20:40:38 2020, 1589987470.029, 0.68, 0.2103, 0.71, 0.2016
model-Wed May 20 20:40:38 2020, 1589987470.093, 0.64, 0.2078, 0.63, 0.206
model-Wed May 20 20:40:38 2020, 1589987470.155, 0.69, 0.1932, 0.76, 0.175
model-Wed May 20 20:40:38 2020, 1589987470.227, 0.69, 0.1918, 0.82, 0.1453
model-Wed May 20 20:40:38 2020, 1589987470.289, 0.72, 0.18, 0.64, 0.1968
model-Wed May 20 20:40:38 2020, 1589987470.353, 0.7, 0.194, 0.68, 0.2046
model-Wed May 20 20:40:38 2020, 1589987470.415, 0.59, 0.2351, 0.69, 0.1917
model-Wed May 20 20:40:38 2020, 1589987470.479, 0.67, 0.2072, 0.72, 0.1864
model-Wed May 20 20:40:38 2020, 1589987470.54, 0.73, 0.1886, 0.68, 0.1955
model-Wed May 20 20:40:38 2020, 1589987470.603, 0.62, 0.2406, 0.66, 0.2072
model-Wed May 20 20:40:38 2020, 1589987470.666, 0.65, 0.2147, 0.69, 0.2062
model-Wed May 20 20:40:38 2020, 1589987470.73, 0.71, 0.1878, 0.68, 0.2033
model-Wed May 20 20:40:38 2020, 1589987470.792, 0.72, 0.1983, 0.67, 0.1996
model-Wed May 20 20:40:38 2020, 1589987470.865, 0.73, 0.183, 0.62, 0.2496
model-Wed May 20 20:40:38 2020, 1589987470.926, 0.72, 0.1854, 0.7, 0.2069
model-Wed May 20 20:40:38 2020, 1589987470.989, 0.69, 0.2061, 0.62, 0.2177
model-Wed May 20 20:40:38 2020, 1589987471.052, 0.68, 0.2172, 0.68, 0.2127
model-Wed May 20 20:40:38 2020, 1589987471.115, 0.72, 0.1831, 0.75, 0.1887
model-Wed May 20 20:40:38 2020, 1589987471.177, 0.68, 0.2063, 0.68, 0.19
model-Wed May 20 20:40:38 2020, 1589987471.241, 0.58, 0.2472, 0.67, 0.2166
model-Wed May 20 20:40:38 2020, 1589987471.302, 0.67, 0.2132, 0.68, 0.2078
model-Wed May 20 20:40:38 2020, 1589987471.366, 0.71, 0.1988, 0.71, 0.1981
model-Wed May 20 20:40:38 2020, 1589987471.429, 0.68, 0.2069, 0.71, 0.2014
model-Wed May 20 20:40:38 2020, 1589987471.492, 0.67, 0.1991, 0.78, 0.1656
model-Wed May 20 20:40:38 2020, 1589987471.555, 0.67, 0.2236, 0.7, 0.1947
model-Wed May 20 20:40:38 2020, 1589987471.62, 0.76, 0.1814, 0.77, 0.1707
model-Wed May 20 20:40:38 2020, 1589987471.682, 0.74, 0.1795, 0.66, 0.2107
model-Wed May 20 20:40:38 2020, 1589987471.756, 0.62, 0.2223, 0.67, 0.2077
model-Wed May 20 20:40:38 2020, 1589987471.819, 0.71, 0.192, 0.66, 0.2008
model-Wed May 20 20:40:38 2020, 1589987471.895, 0.76, 0.1746, 0.64, 0.2199
model-Wed May 20 20:40:38 2020, 1589987471.957, 0.7, 0.193, 0.71, 0.1878
model-Wed May 20 20:40:38 2020, 1589987472.021, 0.68, 0.2008, 0.72, 0.1984
model-Wed May 20 20:40:38 2020, 1589987472.082, 0.71, 0.2072, 0.67, 0.211
model-Wed May 20 20:40:38 2020, 1589987472.147, 0.69, 0.199, 0.73, 0.1875
model-Wed May 20 20:40:38 2020, 1589987472.209, 0.66, 0.2224, 0.69, 0.193
model-Wed May 20 20:40:38 2020, 1589987472.273, 0.7, 0.1942, 0.65, 0.2248
model-Wed May 20 20:40:38 2020, 1589987472.335, 0.61, 0.2109, 0.69, 0.1991
model-Wed May 20 20:40:38 2020, 1589987472.399, 0.75, 0.1781, 0.68, 0.2235
model-Wed May 20 20:40:38 2020, 1589987472.461, 0.72, 0.1844, 0.66, 0.1959
model-Wed May 20 20:40:38 2020, 1589987472.524, 0.72, 0.1765, 0.72, 0.1818
model-Wed May 20 20:40:38 2020, 1589987472.587, 0.67, 0.1983, 0.65, 0.2129
model-Wed May 20 20:40:38 2020, 1589987472.651, 0.7, 0.1892, 0.64, 0.2203
model-Wed May 20 20:40:38 2020, 1589987472.714, 0.63, 0.2155, 0.7, 0.1778
model-Wed May 20 20:40:38 2020, 1589987472.778, 0.68, 0.2098, 0.61, 0.1996
model-Wed May 20 20:40:38 2020, 1589987472.839, 0.64, 0.2201, 0.7, 0.1954
model-Wed May 20 20:40:38 2020, 1589987472.902, 0.8, 0.1617, 0.76, 0.1799
model-Wed May 20 20:40:38 2020, 1589987472.965, 0.62, 0.219, 0.71, 0.1874
model-Wed May 20 20:40:38 2020, 1589987473.028, 0.67, 0.1991, 0.7, 0.1859
model-Wed May 20 20:40:38 2020, 1589987473.091, 0.69, 0.1997, 0.74, 0.1963
model-Wed May 20 20:40:38 2020, 1589987473.154, 0.74, 0.1849, 0.69, 0.2038
model-Wed May 20 20:40:38 2020, 1589987473.216, 0.69, 0.1997, 0.7, 0.2036
model-Wed May 20 20:40:38 2020, 1589987473.291, 0.69, 0.1845, 0.73, 0.2007
model-Wed May 20 20:40:38 2020, 1589987473.353, 0.74, 0.1769, 0.74, 0.1723
model-Wed May 20 20:40:38 2020, 1589987473.417, 0.69, 0.1764, 0.73, 0.177
model-Wed May 20 20:40:38 2020, 1589987473.48, 0.66, 0.2216, 0.71, 0.187
model-Wed May 20 20:40:38 2020, 1589987473.543, 0.73, 0.1882, 0.67, 0.214
model-Wed May 20 20:40:38 2020, 1589987473.617, 0.72, 0.2026, 0.75, 0.1679
model-Wed May 20 20:40:38 2020, 1589987473.692, 0.67, 0.2107, 0.64, 0.2078
model-Wed May 20 20:40:38 2020, 1589987473.754, 0.72, 0.1698, 0.73, 0.1928
model-Wed May 20 20:40:38 2020, 1589987473.818, 0.63, 0.2165, 0.66, 0.2041
model-Wed May 20 20:40:38 2020, 1589987473.881, 0.76, 0.1661, 0.66, 0.2211
model-Wed May 20 20:40:38 2020, 1589987473.954, 0.71, 0.1643, 0.64, 0.226
model-Wed May 20 20:40:38 2020, 1589987474.017, 0.69, 0.1948, 0.75, 0.1642
model-Wed May 20 20:40:38 2020, 1589987474.102, 0.67, 0.2262, 0.73, 0.183
model-Wed May 20 20:40:38 2020, 1589987474.165, 0.8, 0.1548, 0.7, 0.2033
model-Wed May 20 20:40:38 2020, 1589987474.23, 0.62, 0.2165, 0.77, 0.183
model-Wed May 20 20:40:38 2020, 1589987474.295, 0.75, 0.1681, 0.7, 0.2104
model-Wed May 20 20:40:38 2020, 1589987474.362, 0.67, 0.1913, 0.73, 0.1827
model-Wed May 20 20:40:38 2020, 1589987474.424, 0.72, 0.1954, 0.67, 0.2033
model-Wed May 20 20:40:38 2020, 1589987474.488, 0.69, 0.1757, 0.64, 0.2143
model-Wed May 20 20:40:38 2020, 1589987474.55, 0.54, 0.2448, 0.69, 0.1944
model-Wed May 20 20:40:38 2020, 1589987474.615, 0.69, 0.198, 0.76, 0.1758
model-Wed May 20 20:40:38 2020, 1589987474.677, 0.76, 0.1833, 0.71, 0.173
model-Wed May 20 20:40:38 2020, 1589987474.742, 0.76, 0.159, 0.61, 0.2257
model-Wed May 20 20:40:38 2020, 1589987474.805, 0.75, 0.1805, 0.69, 0.2063
model-Wed May 20 20:40:38 2020, 1589987474.868, 0.67, 0.2027, 0.76, 0.1738
model-Wed May 20 20:40:38 2020, 1589987474.931, 0.67, 0.1993, 0.7, 0.2048
model-Wed May 20 20:40:38 2020, 1589987474.995, 0.7, 0.2019, 0.76, 0.1722
model-Wed May 20 20:40:38 2020, 1589987475.059, 0.69, 0.1882, 0.67, 0.2215
model-Wed May 20 20:40:38 2020, 1589987475.123, 0.83, 0.1341, 0.68, 0.2074
model-Wed May 20 20:40:38 2020, 1589987475.186, 0.7, 0.1987, 0.76, 0.1543
model-Wed May 20 20:40:38 2020, 1589987475.26, 0.71, 0.1848, 0.73, 0.1814
model-Wed May 20 20:40:38 2020, 1589987475.321, 0.76, 0.1633, 0.72, 0.1716
model-Wed May 20 20:40:38 2020, 1589987475.385, 0.8, 0.1454, 0.7, 0.1874
model-Wed May 20 20:40:38 2020, 1589987475.448, 0.76, 0.1779, 0.73, 0.1784
model-Wed May 20 20:40:38 2020, 1589987475.512, 0.65, 0.1931, 0.74, 0.1805
model-Wed May 20 20:40:38 2020, 1589987475.575, 0.69, 0.1987, 0.75, 0.1801
model-Wed May 20 20:40:38 2020, 1589987475.638, 0.77, 0.1671, 0.73, 0.1835
model-Wed May 20 20:40:38 2020, 1589987475.7, 0.71, 0.1844, 0.77, 0.1691
model-Wed May 20 20:40:38 2020, 1589987475.764, 0.67, 0.2056, 0.72, 0.1995
model-Wed May 20 20:40:38 2020, 1589987475.827, 0.72, 0.1647, 0.72, 0.1907
model-Wed May 20 20:40:38 2020, 1589987475.891, 0.72, 0.1741, 0.71, 0.1959
model-Wed May 20 20:40:38 2020, 1589987475.954, 0.75, 0.1956, 0.64, 0.2157
model-Wed May 20 20:40:38 2020, 1589987476.018, 0.71, 0.1915, 0.69, 0.2033
model-Wed May 20 20:40:38 2020, 1589987476.079, 0.79, 0.1796, 0.68, 0.2094
model-Wed May 20 20:40:38 2020, 1589987476.144, 0.74, 0.1814, 0.73, 0.1876
model-Wed May 20 20:40:38 2020, 1589987476.206, 0.76, 0.1828, 0.68, 0.1942
model-Wed May 20 20:40:38 2020, 1589987476.27, 0.73, 0.1813, 0.72, 0.2034
model-Wed May 20 20:40:38 2020, 1589987476.332, 0.77, 0.1894, 0.73, 0.1913
model-Wed May 20 20:40:38 2020, 1589987476.396, 0.77, 0.176, 0.67, 0.2195
model-Wed May 20 20:40:38 2020, 1589987476.458, 0.74, 0.171, 0.69, 0.2037
model-Wed May 20 20:40:38 2020, 1589987476.522, 0.69, 0.2036, 0.71, 0.1866
model-Wed May 20 20:40:38 2020, 1589987476.584, 0.66, 0.2185, 0.78, 0.1537
model-Wed May 20 20:40:38 2020, 1589987476.648, 0.77, 0.1516, 0.75, 0.185
model-Wed May 20 20:40:38 2020, 1589987476.713, 0.75, 0.1583, 0.75, 0.1866
model-Wed May 20 20:40:38 2020, 1589987476.777, 0.69, 0.184, 0.8, 0.1462
model-Wed May 20 20:40:38 2020, 1589987476.838, 0.79, 0.1318, 0.72, 0.1715
model-Wed May 20 20:40:38 2020, 1589987476.901, 0.7, 0.1901, 0.68, 0.1989
model-Wed May 20 20:40:38 2020, 1589987476.964, 0.65, 0.2178, 0.77, 0.1613
model-Wed May 20 20:40:38 2020, 1589987477.028, 0.64, 0.2061, 0.67, 0.201
model-Wed May 20 20:40:38 2020, 1589987477.09, 0.77, 0.1618, 0.71, 0.1687
model-Wed May 20 20:40:38 2020, 1589987477.154, 0.75, 0.1918, 0.71, 0.2166
model-Wed May 20 20:40:38 2020, 1589987477.216, 0.69, 0.2168, 0.73, 0.2054
model-Wed May 20 20:40:38 2020, 1589987477.29, 0.72, 0.1749, 0.72, 0.1771
model-Wed May 20 20:40:38 2020, 1589987477.353, 0.74, 0.1979, 0.77, 0.1682
model-Wed May 20 20:40:38 2020, 1589987477.416, 0.74, 0.1797, 0.65, 0.2254
