model, time, acc, loss, tacc, tloss
model-Wed May 20 20:40:38 2020, 1589987443.972, 0.52, 0.2487, 0.53, 0.2387
model-Wed May 20 20:40:38 2020, 1589987444.037, 0.55, 0.2475, 0.52, 0.2465
model-Wed May 20 20:40:38 2020, 1589987444.101, 0.49, 0.2478, 0.57, 0.2407
model-Wed May 20 20:40:38 2020, 1589987444.166, 0.57, 0.2465, 0.53, 0.2457
model-Wed May 20 20:40:38 2020, 1589987444.229, 0.59, 0.2395, 0.5, 0.2503
model-Wed May 20 20:40:38 2020, 1589987444.295, 0.57, 0.2484, 0.48, 0.2569
model-Wed May 20 20:40:38 2020, 1589987444.357, 0.58, 0.2405, 0.52, 0.2446
model-Wed May 20 20:40:38 2020, 1589987444.422, 0.53, 0.245, 0.55, 0.2473
model-Wed May 20 20:40:38 2020, 1589987444.486, 0.54, 0.2465, 0.47, 0.2596
model-Wed May 20 20:40:38 2020, 1589987444.551, 0.53, 0.2454, 0.45, 0.2582
model-Wed May 20 20:40:38 2020, 1589987444.614, 0.5, 0.2554, 0.61, 0.2373
model-Wed May 20 20:40:38 2020, 1589987444.679, 0.56, 0.2433, 0.51, 0.248
model-Wed May 20 20:40:38 2020, 1589987444.745, 0.56, 0.244, 0.61, 0.2443
model-Wed May 20 20:40:38 2020, 1589987444.821, 0.59, 0.2454, 0.54, 0.2542
model-Wed May 20 20:40:38 2020, 1589987444.885, 0.42, 0.2559, 0.53, 0.2566
model-Wed May 20 20:40:38 2020, 1589987444.949, 0.5, 0.2374, 0.55, 0.2397
model-Wed May 20 20:40:38 2020, 1589987445.013, 0.51, 0.2505, 0.48, 0.2558
model-Wed May 20 20:40:38 2020, 1589987445.079, 0.55, 0.2437, 0.55, 0.2466
model-Wed May 20 20:40:38 2020, 1589987445.144, 0.51, 0.2442, 0.49, 0.2456
model-Wed May 20 20:40:38 2020, 1589987445.211, 0.59, 0.2423, 0.52, 0.2585
model-Wed May 20 20:40:38 2020, 1589987445.276, 0.55, 0.2471, 0.57, 0.2442
model-Wed May 20 20:40:38 2020, 1589987445.341, 0.47, 0.2539, 0.59, 0.2405
model-Wed May 20 20:40:38 2020, 1589987445.405, 0.58, 0.2422, 0.6, 0.2357
model-Wed May 20 20:40:38 2020, 1589987445.469, 0.55, 0.2482, 0.54, 0.2495
model-Wed May 20 20:40:38 2020, 1589987445.532, 0.59, 0.2392, 0.5, 0.247
model-Wed May 20 20:40:38 2020, 1589987445.597, 0.68, 0.2328, 0.62, 0.24
model-Wed May 20 20:40:38 2020, 1589987445.66, 0.58, 0.2378, 0.57, 0.2456
model-Wed May 20 20:40:38 2020, 1589987445.727, 0.57, 0.2473, 0.56, 0.25
model-Wed May 20 20:40:38 2020, 1589987445.794, 0.58, 0.2465, 0.61, 0.2407
model-Wed May 20 20:40:38 2020, 1589987445.858, 0.58, 0.2432, 0.6, 0.2404
model-Wed May 20 20:40:38 2020, 1589987445.924, 0.53, 0.2421, 0.58, 0.2341
model-Wed May 20 20:40:38 2020, 1589987445.99, 0.59, 0.241, 0.57, 0.2428
model-Wed May 20 20:40:38 2020, 1589987446.053, 0.53, 0.2406, 0.55, 0.2349
